120,-2588,1543037,25294,27882,-9096,-530,0,0,-10874,20178318,271540,165515,20615373,0.78,0.8,1254,518,0,17895,736,6482280,0.28,40,583,0,3516,-543,0.2,148
123,-7845,1535192,14741,22586,-18121,106,0,0,-17189,20160165,271646,166341,20598152,0.78,0.79,2584,476,27,19976,2081,6482280,0.31,0,1068,0,2448,-1068,0.12,0
121.5,4741,1539933,15828,11087,10189,-467,0,0,6563,20170354,271179,163182,20604715,0.78,0.79,1495,4252,5,17214,-2762,6482280,0.27,0,2299,37,112,-2336,0.01,0
121.5,-519,1539414,9991,10510,-5279,-761,0,0,-6123,20165076,270418,163099,20598593,0.78,0.79,0,1000,0,16214,-1000,6482280,0.25,0,1,111,0,-112,0,0
121,-1360,1538054,12206,13566,-4969,-401,0,0,-5208,20162426,270017,163261,20595704,0.78,0.79,0,335,21,15858,-356,6482280,0.24,0,0,0,0,0,0,0
121,411,1538465,15456,15045,-2902,-651,0,0,-3993,20159024,269366,162821,20591211,0.78,0.79,0,787,0,15071,-787,6482280,0.23,0,0,0,0,0,0,0
118.5,396,1538861,10575,10179,14,-1006,0,0,-977,20159038,268360,162836,20590234,0.78,0.79,1378,947,4,15498,427,6482280,0.24,267,0,0,267,267,0.02,21
119,-2479,1536382,18125,20604,3883,-258,0,0,3070,20166521,268102,162281,20596904,0.78,0.79,1036,2140,0,14394,-1104,6482280,0.22,197,99,0,365,98,0.03,480
120.5,3520,1539902,16952,13432,3202,-683,0,0,2419,20169723,267419,162181,20599323,0.78,0.79,489,1067,0,13816,-578,6482280,0.21,302,76,0,591,226,0.04,63
118.5,834,1540736,9593,8759,2420,97,0,0,1453,20173942,267516,161117,20602575,0.78,0.79,1594,354,0,15056,1240,6482280,0.23,264,24,0,831,240,0.06,123
118,-7636,1533100,19815,27451,-16792,-81,0,0,-17391,20157150,267435,160599,20585184,0.78,0.79,1297,1102,47,15204,148,6482280,0.23,200,288,0,743,-88,0.05,157
117,-6801,1526299,22503,29304,-12780,-233,0,0,-12202,20144242,267202,161410,20572854,0.78,0.79,1458,416,20,16226,1022,6482280,0.25,120,131,0,732,-11,0.05,155
118,-8947,1517352,7214,16161,-12015,-309,0,0,-11975,20132227,266893,161759,20560879,0.78,0.79,2163,696,5,17688,1462,6482280,0.27,53,128,0,657,-75,0.04,50
118.5,-1846,1515506,16365,18211,-14366,-138,0,0,-13616,20117831,266755,162647,20547233,0.78,0.79,1780,970,1,18497,809,6482280,0.29,89,82,0,664,7,0.04,304
119.5,504,1516010,18132,17628,-6754,273,0,0,-6392,20111077,267028,162736,20540841,0.78,0.79,384,996,0,17885,-612,6482280,0.28,156,62,0,758,94,0.04,353
120,2171,1518181,16815,14644,-1117,236,0,0,-1145,20110438,267264,162472,20540174,0.78,0.79,1084,863,0,18106,221,6482280,0.28,251,87,0,922,164,0.05,20
118.5,3168,1521349,14590,11422,-637,29,0,0,-1550,20109800,267293,161530,20538623,0.78,0.79,736,627,28,18187,81,6482280,0.28,145,86,0,981,59,0.05,50
120.5,-1834,1519515,14362,16196,-438,67,0,0,-268,20109179,267360,161633,20538172,0.78,0.79,947,1219,1,17914,-273,6482280,0.28,73,224,0,830,-151,0.05,317
122,9915,1529430,20517,10602,14278,207,0,0,14072,20124656,267567,161220,20553443,0.78,0.79,436,2285,0,16065,-1849,6482280,0.25,318,23,0,1125,295,0.07,17
122,11137,1540567,23713,12576,18182,165,0,0,18171,20142958,267732,161044,20571734,0.78,0.79,476,1900,0,14641,-1424,6482343,0.23,688,68,0,1745,620,0.12,37
122,756,1541323,9944,9188,-2818,34,0,0,-2446,20139821,267766,161382,20568969,0.78,0.79,449,274,0,14816,175,6482343,0.23,57,360,0,1442,-303,0.1,92
121,7894,1549217,20280,12386,9001,-113,0,0,4232,20149078,267653,156726,20573457,0.78,0.79,262,1324,20,13734,-1082,6482343,0.21,181,32,0,1591,149,0.12,216
121,744,1549961,11322,10578,2711,327,0,0,3096,20151756,267980,156784,20576520,0.78,0.79,666,183,1,14216,482,6482343,0.22,44,86,0,1549,-42,0.11,31
120.5,3186,1553147,14874,11688,40,-8,0,0,-130,20164974,267972,156622,20589568,0.78,0.79,492,489,2,14217,1,6482343,0.22,122,22,0,1649,100,0.12,13
